-like	sؤپn<br><br>
adultery	bieffati; rؤپbete-ye nؤپmإ،ru'; zenؤپ<br><br>
adumbrate	mobham kardan<br><br>
adumbration	neإ،ؤپn dؤپdan<br><br>
adust	suxte<br><br>
advance	az piإ، ferestؤپdeإ،ode; eqؤپmeâ€Œ kardan; jelow bordan; jelow raftan; mosؤپede; mosؤپedeâ€Œ dؤپdan; piإ، bordan; piإ، raftan; piإ،bord; piإ،pardؤپxt; piإ،qest; piإ،raft; piإ،ravi; rabun; sebqat; taraqqi dؤپdan; tarfiâ€™-e rotbeâ€Œ dؤپdan; tasriâ€™ kardan<br><br>
advance a proposal	piإ،nahؤپd kardan<br><br>
advance money	mosؤپede<br><br>
advanced	moteraqqi; piإ،rafte<br><br>
advancement	piإ،raft; taraqqi; tarfi'<br><br>
advantage	ؤپvؤپntؤپإ¾; bartari; fؤپyede; manfeat; manfeat (manؤپfe'); maziyat; maziyat (mazؤپyؤپ); sarfe; sud<br><br>
advantageous	bؤپsarfe; sudmand<br><br>
advantages	mazؤپyؤپ<br><br>
adventitious	ektesؤپbi<br><br>
adventure	mؤپjarؤپ; mؤپjarؤپjuyi; mؤپyarؤپyuyi; moxؤپtere; sarة،ozaإ،t<br><br>
adventurer	jausr; mؤپjarؤپju<br><br>
adventuresome	jasurؤپne; mؤپyarؤپyuyؤپne<br><br>
adventurous	mؤپjarؤپju; porhؤپdese; pormؤپjarؤپ<br><br>
adverb	qeyd (qoyud)<br><br>
adversary	doإ،man; harif; mobؤپrez; moddai; xasm; zed(d)<br><br>
adversative	nؤپqez; naqzؤپmiz<br><br>
adverse	dؤپmanedؤپr; ruberu<br><br>
adversity	badbaxti; maإ،eqqat; nؤپmolؤپyemؤپt; saxti; إ،eqؤپvat<br><br>
advert	atf kardan; tavajjoh kardan<br><br>
advertence	amd<br><br>
advertise	ؤپgahi dؤپdan; ؤپgahi kardan; eâ€™lؤپn kardan; e'lؤپn kardanآ ; enteإ،ؤپr dؤپdan<br><br>
advertisement	ؤپgahi; ؤپة،ahi; e'lؤپn<br><br>
advertising	ؤپgahi; ؤپة،ahi; e'lؤپn; tabliq (tabliqؤپt); tabliqؤپt; tabliqؤپti<br><br>
advertising campaign	mobؤپreze-ye tabliqؤپti<br><br>
advice	andarz; maslehat; maإ،verat; nasihat; pand; rؤپyzani; towsiye<br><br>
advisable	moqtazi<br><br>
advise	nasihat kardan; pand dؤپdan; towsiye kardan; xabar dؤپdan<br><br>
advised	maslehati<br><br>
adviser	moإ،ؤپver; rؤپhnamؤپ; rahnemun; rؤپyzan; towsiekonande<br><br>
advisor	moإ،ؤپver; rؤپhnamؤپ; rؤپyzan<br><br>
advisory	maإ،verati<br><br>
advocacy	defؤپ'; tarafdؤپri; vekؤپlat<br><br>
advocate	defؤپâ€™ kardan; hؤپmi; modؤپfe'; poإ،tibؤپni kardan; tarafdؤپri kardan<br><br>
adytum	haram; mehrؤپb<br><br>
aegis	hefؤپzat<br><br>
aerial	havؤپyi<br><br>
aerie	havؤپyi<br><br>
aerodynamics	ؤپyrodinؤپmik<br><br>
aerologist	havؤپإ،enؤپs<br><br>
aerology	havؤپإ،enؤپsi<br><br>
aeronaut	xalabؤپn<br><br>
aerospace	havؤپ-fazؤپ; havؤپ-fazؤپyi<br><br>
aerosphere	atmosfer<br><br>
aery	havؤپyi<br><br>
aesthetic	zariftabâ€™; zibؤپإ،enؤپsi; zibؤپإ،enؤپxti; zibؤپyi; zibؤپyiإ،enؤپxti<br><br>
aesthetics	zibؤپyiإ،enؤپs; zibؤپyiإ،enؤپsi<br><br>
afaq	ؤپfؤپq<br><br>
afar	durؤپdur<br><br>
affability	delyuyi; modؤپrؤپ; xoإ،ruyi<br><br>
affable	xoإ،barxord; xoإ،raftؤپr; xoإ،ru<br><br>
affair	ؤپmer; amr; amr (avؤپmer, omur); kؤپrobؤپr; matlab<br><br>
affairs	omur; omurؤپt; إ،oun; إ،ounؤپt<br><br>
affect	asar; asar kardan; dust dؤپإ،tan; moteasser kardan; tamؤپyol dؤپإ،tan; taqyir dؤپdan; tazؤپhor kardan; vؤپnemud kardan<br><br>
affectation	nؤپz; tazؤپhor<br><br>
affected	moteasser; tahteta'sir<br><br>
affection	ؤپtefe (avؤپtef); mehr; mehrabؤپni; mehrbؤپni; mehrmؤپh; mohabbat<br><br>
affectionate	mehrabؤپn; mohabbatؤپmiz<br><br>
affective	moasser; nafsؤپni<br><br>
affiance	nؤپmzadi<br><br>
affidavit	esteإ،hؤپd; esteإ،hؤپdnؤپme; govؤپhinؤپme; إ،ahؤپdatnؤپme<br><br>
affiliate	ؤپإ،nؤپ kardan; be farzandi paziroftan; dar miyؤپn-e xod paziroftan; marbut sؤپxtan; peyvastan; vؤپbaste<br><br>
affiliation	vؤپbasteة،i<br><br>
affinity	nazdiki; peyvasteة،i; qowmoxiإ،-e sababi; vؤپbasteة،i<br><br>
affirm	esbؤپt kardan; ezhؤپr kardan; إ،ahؤپdat dؤپdan; tasdiq kardan; tasrih kardan<br><br>
affirmation	esbؤپt; ta'kid<br><br>
affirmative	mosbat<br><br>
affix	zamimeâ€Œ kardan<br><br>
afflatus	vazeإ،<br><br>
afflict	pariإ،ؤپn kardan<br><br>
affliction	dard; maإ،eqqat; ranj; siyؤپhbaxti<br><br>
affluence	fozuni<br><br>
affluent	moraffah<br><br>
afflux	anbuhi<br><br>
afford	az ohde bar ؤپmadan; az ohde barؤپmadan; dؤپdan; estetؤپat dؤپإ،tan; hؤپsel kardan; mowjeb إ،odan; tahiye kardan<br><br>
afford to	estetؤپat<br><br>
affordable	maqrun; maqrunbesarfe; vos'<br><br>
affray	setiz<br><br>
affront	xeffat<br><br>
affronts	hatk<br><br>
Afghan	Afqؤپn; Afqؤپni<br><br>
Afghani	Afqؤپn; Afqؤپni<br><br>
Afghanistan	Afqؤپnestؤپn<br><br>
aficionado	havؤپxؤپh<br><br>
aficionados	honardusti<br><br>
afire	suzؤپn<br><br>
afoot	barpؤپ; piyؤپde<br><br>
aforementioned	mazbur<br><br>
aforesaid	mazkur<br><br>
aforethought	amd<br><br>
afoul	docؤپr; ة،ereftؤپr<br><br>
afraid	harؤپsؤپn; motevahheإ،; sarؤپsime; tarsؤپn; tarsande; tarside<br><br>
afraid of people	guإ،egir<br><br>
afratamyz	efrؤپtؤپmiz<br><br>
afreet	efrite<br><br>
afresh	az now; dobؤپre<br><br>
Africa	ؤپfriqؤپ<br><br>
African	efriqؤپyi<br><br>
Afro-	efriqؤپyi<br><br>
Afsharian	Afإ،ؤپriyؤپn<br><br>
after	aqab-e; ba'd az; ba'd az ؤپn ke; ba'd az in ke; dar pey; dar sadad-e; donbؤپl(-e); mؤپba'd; pas; pas az; pas az ؤپn ke; pas az in ke<br><br>
after all	dastekam<br><br>
after that	ba'd az ؤپn ke; pas az ؤپn ke<br><br>
after this	ba'dazin<br><br>
aftermath	peyؤپmad<br><br>
aftermost	vؤپpasin<br><br>
afternoon	asr; baâ€™dazzohr; ba'dazzohr<br><br>
afternoon snack	asrؤپne<br><br>
aftertaste	tahmaze<br><br>
afterward	ba'dan<br><br>
afterwards	baâ€™dan; ba'dan; pas; sepas<br><br>
again	az now; bؤپr-e digar; bؤپz; deة،arbؤپre; digar; diة،ar; diة،arbؤپr; dobؤپre; domartabe; mojaddadan; mokarrar; yek bؤپr-e digar<br><br>
against	aleyh(-e); bar; bar'alayhe; be; be su-ye; be taraf-e; dar barؤپbar; dar moqؤپbel-e; mojؤپver; mojؤپver(-e); moxؤپlef; moxؤپlef(-e) (moxؤپlefin); zedd-e<br><br>
agate	aqiq<br><br>
age	ahd; asr; dowre; hamsen; kohne إ،odan; omr; pir إ،odan; piri; pirnamؤپ kardan; qedmat; sؤپlxorde إ،odan; sen; sen(n); sen(n) (senin); senn; senn-e boluq; sennosؤپl<br><br>
age of eighty years	haإ،tؤپdsؤپlegi<br><br>
age of twelve years	davؤپzdahsؤپlegi<br><br>
aged	mosen(n); mosenn; pir; sؤپlؤپr<br><br>
agency	ؤپإ¾ؤپns; bongؤپh; ة،omؤپإ،teة،i; namؤپyandegi; namؤپyandeة،i; vesؤپtat; xabarة،ozؤپri<br><br>
agenda	dastur-e jalase; dasturekؤپr<br><br>
agendum	dasturekؤپr<br><br>
agent	ؤپmel; ؤپmel (avؤپmel); dallؤپl; ة،omؤپإ،te; maâ€™mur; ma'mur; namؤپyande; piإ،kؤپr; vؤپsete (vasؤپyet)<br><br>
ages	aâ€™sؤپr; a'sؤپr; senin<br><br>
agglomerate	gerd ؤپmadan; gerd kardan; ة،erdؤپmadan<br><br>
agglomerated	hamjuإ،<br><br>
agglomeration	anbؤپإ،teة،i; tarؤپkom<br><br>
agglutinate	casb; tarkib kardan<br><br>
aggrandize	bozorg kardan<br><br>
aggravate	badtar kardan; ezؤپfe kardan; vaximtar kardan; xaإ،mgin kardan<br><br>
aggregate	anbuh; behampeyvaste; jam'; jam' kardan; jam'إ،ode; majmu'; moterؤپkem; tarؤپkom; tudeâ€Œ kardan<br><br>
aggregation	anbuh; tajammo'; tarؤپkom<br><br>
aggress	hamleâ€Œ kardan<br><br>
aggression	parxؤپإ،ة،ari; parxؤپإ،yuyi; tajؤپvoz<br><br>
aggressive	mohؤپjem (mohؤپjemin); motahؤپjem; motehؤپjem; motehavverؤپne; motejؤپvez; parxؤپإ،gar; parxؤپإ،ة،ar; parxؤپإ،ة،arؤپne; parxؤپإ،yuyؤپne; setizeju; solteju; solteyuyؤپne; xoإ،unatؤپmiz<br><br>
aggressor	hamlekonande; mohؤپjem (mohؤپjemin); motejؤپvez; parxؤپإ،ة،ar<br><br>
aggrieve	ؤپzordan<br><br>
aghast	mabhut<br><br>
agile	cؤپbok; ferz<br><br>
agility	cؤپboki; cؤپlؤپki; ziraki<br><br>
aging	kohan; kohansؤپl; pir إ،odan; sؤپlxorde<br><br>
agitate	ؤپإ،oftan; be kؤپr andؤپxtan; moztareb kardan; pariإ،ؤپn kardan; sarؤپsime kardan; tahrik kardan<br><br>
agitated	moztareb; porhayeyؤپn<br><br>
agitation	pariإ،ؤپni; talؤپtom<br><br>
agitator	ؤپإ،ubة،ar; ؤپtaإ،zؤپ<br><br>
aglitter	tؤپbande<br><br>
ago	gozaإ،te; gozؤپإ،te; ة،ozaإ،te; piإ،; qabl<br><br>
agog	biqarؤپr<br><br>
agonistic	pahlevؤپni; varzeإ،i<br><br>
agonize	taqallؤپ kardan<br><br>
agonizing	azؤپbؤپvar<br><br>
agony	azؤپb; dard; ranj<br><br>
agora	bؤپzؤپr; mahfel<br><br>
agree	ؤپإ،ti dؤپdan; dorost kardan; hamnazari; hamraâ€™y budan; jolus kardan; mottafeq budan; movؤپfeq budan; movؤپfeqat kardan; movؤپfeqatkardan; pasand ؤپmadan; paziroftan (pazir); qabul kardan; sؤپzeإ، kardan; tan dar dؤپdan; tartib dؤپdan; tavؤپfoq kardan<br><br>
agreeable	hؤپzer<br><br>
agreed	ham'aqide; tavؤپfoqإ،ode<br><br>
agreeing	movؤپfeq<br><br>
agreement	moؤپhede; movؤپfeqat; movؤپfeqatnؤپme; peymؤپn; peymؤپnnؤپme; qabul; qarؤپr; qarؤپrdؤپd; qowloqarؤپr; sؤپzeإ،; tavؤپfoq; tavؤپfoqnؤپme<br><br>
agricultural	keإ،ؤپvarzi; zerؤپati<br><br>
agricultural land	zamin-e zerؤپi<br><br>
agricultural products	mahsulؤپt-e keإ،ؤپvarzi<br><br>
agriculture	barzeة،ari; keإ،ؤپvarzi; zerؤپ'; zerؤپat<br><br>
agro-	keإ،ؤپvarzi; xؤپk<br><br>
agrologist	xؤپkإ،enؤپs<br><br>
agronomic	keإ،ؤپvarzi<br><br>
agronomical	keإ،ؤپvarzi<br><br>
agronomy	keإ،ؤپvarzi<br><br>
ah	afsus; ؤپh<br><br>
ah!	afsus; ؤپh<br><br>
ahead	jelo; jelow; jolo; piإ،; piإ،eru<br><br>
Ahouramazda	Ahurؤپmazdؤپ<br><br>
ahoy!	lafz<br><br>
aid	emdؤپdresؤپn; hemؤپyat; hemؤپyat kardan; komak; komak kardan; komakdehande; madadkؤپr; madadresؤپni; mosؤپedat; mosؤپedat kardan; poإ،tibؤپni kardan; yؤپri; yؤپri kardan; yؤپvar<br><br>
aide	bardast; dastyؤپr<br><br>
AIDS	eydz<br><br>
ail	ؤپzordan; pariإ،ؤپn kardan<br><br>
ailing	mariz<br><br>
aim	arzyؤپbi kardan; hadaf; hadaf (ahdؤپf); hads; jahat; manzur; maqsad; maqsud; maqsud (maqؤپsed); marؤپm; neإ،ؤپne gereftan; qarؤپvol raftan; qasd dؤپإ،tan; rؤپhnamؤپyi<br><br>
aimless	bierؤپde; bihadaf<br><br>
air	ؤپhang; ؤپإ،kؤپr kardan; ؤپvؤپz; ؤپvؤپze; bؤپd; estenإ،ؤپq; fazؤپ; havؤپ; jariyؤپn-e havؤپ; namؤپ; nasim; إ،ahiq; simؤپ<br><br>
air bladder	bؤپdkonak<br><br>
air conditioner	dastgؤپh-e tahviyematbu'<br><br>
air Conditioning	dastgؤپh-e tahviyematbu'; tahviyematbu'; kuler<br><br>
air force	niru-ye havؤپyi<br><br>
air gun	tofang-e bؤپdi<br><br>
air hole	cؤپh-e havؤپyi<br><br>
air mattress	toإ،ak-e bؤپdi<br><br>
air path	masir-e havؤپyi<br><br>
air pollution	ؤپludegi-ye havؤپ<br><br>
air pressure	feإ،ؤپr-e havؤپ<br><br>
air route	masir-e havؤپyi; masir-e parvؤپz<br><br>
air strike	hamle-ye havؤپyi<br><br>
air temperature	damؤپ-ye havؤپ<br><br>
air traffic controller	ma'mur-e kontorol-e parvؤپz<br><br>
air valve	supؤپp<br><br>
air-dry	be dun-erotubat<br><br>
air-raid	hamle-ye havؤپyi<br><br>
airbase	forudgؤپh-e nezؤپmi<br><br>
aircraft	havؤپpeymؤپ; havؤپpeymؤپsؤپzi<br><br>
aircraft carrier	nؤپv-e havؤپpeymؤپbar<br><br>
airflow	jariyؤپn-e havؤپ; nasim; vazeإ،<br><br>
airfreight	mahmule-ye havؤپyi<br><br>
airing	tahviye<br><br>
airline	havؤپpeymؤپyi; إ،erkat-e havؤپpeymؤپyi<br><br>
airliner	havؤپpeymؤپ-ye mosؤپferbari<br><br>
airmail	post-e havؤپyi<br><br>
airplane	havؤپpeymؤپ; tayyؤپre<br><br>
airplane hijacking	havؤپpeymؤپrobؤپyi<br><br>
airport	forudgؤپh<br><br>
airspace	harim-e havؤپyi<br><br>
airstream	jariyؤپn-e havؤپ<br><br>
airway	rؤپh-e havؤپyi<br><br>
aisle	jenؤپh; rؤپhrow<br><br>
ajabavr	e'jؤپbؤپvar<br><br>
akerd	ؤپkord<br><br>
alack	heyf<br><br>
alack!	heyf<br><br>
alacrity	cؤپboki<br><br>
alameda	bؤپq-e melli<br><br>
alarm	ؤپإ¾ir; ؤپإ¾ir-e xatar; extؤپr; harؤپs; hoإ،dؤپr; hoإ،dؤپr dؤپdan; moztareb kardan; sut-e xatar<br><br>
alarm clock	sؤپat-e إ،ammؤپtedؤپr<br><br>
alarm sound	sut<br><br>
alarm system	dozdgir<br><br>
alarmed	moztareb<br><br>
alarum	ؤپإ،ub; hoإ،dؤپr<br><br>
alas	afsus; dariqؤپ<br><br>
alas!	afsus; ؤپh; dariqؤپ<br><br>
Albania	ؤ€lbؤپni<br><br>
albeit	agarce<br><br>
Alborz	Alborz<br><br>
album	ؤپlbom; moraqqa'<br><br>
albumen	sepide<br><br>
alchemist	kimiyؤپة،ar<br><br>
alchemy	kimiyؤپة،ari<br><br>
alcohol	alkol<br><br>
alcohol free beer	mؤپoإ،إ،air<br><br>
alcohol-free	be dun-ealkol<br><br>
alcoholic	alkoli; dؤپemolxamr<br><br>
alcoholic beverage	إ،arؤپb<br><br>
alcoholic beverages	xamr<br><br>
alcoholic drink	maإ،rub<br><br>
alcove	ؤپlؤپciq<br><br>
alder	rؤپzdؤپr<br><br>
alderman	kadxodؤپ<br><br>
ale	ؤپbejow<br><br>
alehouse	meyxؤپne<br><br>
alert	hoإ،dؤپr dؤپdan; hoإ،yؤپr; huإ،yؤپr; xoruإ، bar ؤپvardan; zirak<br><br>
alfalfa	yonye<br><br>
algae	jolbak<br><br>
algebra	jabr<br><br>
Algeria	Alyazؤپyer<br><br>
Algerian	alyazؤپyeri<br><br>
algorithm	alة،oritm; ؤپlgoritm<br><br>
alhampzyry	elhؤپmpaziri<br><br>
alias	nؤپm-e mostaؤپr<br><br>
alibi	bahؤپne<br><br>
alien	bigؤپne; biة،ؤپne; nؤپsؤپzgؤپr budan; qarib; xؤپreji<br><br>
alienable	enteqؤپli<br><br>
alienate	enteqؤپl dؤپdan<br><br>
alienation	biة،ؤپneة،i<br><br>
alight	forud ؤپmadan; forukeإ، kardan; piyؤپde إ،odan; إ،o'levar; taxfif dؤپdan<br><br>
align	radif kardan<br><br>
aligned	hamrؤپstؤپ<br><br>
alignment	hamsuyi; hamtarؤپzi; tanzim<br><br>
alike	hamؤپnand; mؤپnand; moإ،ؤپbeh; mosؤپvi; moteإ،ؤپbeh; إ،abih; yeksؤپn<br><br>
alimental	qazؤپyi<br><br>
alimony	nafaqe<br><br>
alinement	tanzim<br><br>
aliphatic	carbidؤپr<br><br>
aliquot	kasri<br><br>
alive	sarzende; zende; zendedel<br><br>
alive and well	sahih-o sؤپlem; sؤپlem-o sarehؤپl<br><br>
alktrvskp	elekteroskop<br><br>
alkykhvsh	alakixoإ،<br><br>
all	hame; hameciz; hamegi; hameة،i; hame-ye; harة،une; jami'; jomlegi; jomleة،i; kolliye; tamؤپm; tamؤپman; tamؤپmi; yeksare<br><br>
all absorbing	porhavas<br><br>
all fours	cؤپhؤپrdastopؤپ; cؤپhؤپrpؤپ<br><br>
all hail!	salؤپm<br><br>
all in all	majmuan; ruyehamrafte<br><br>
all over	aslahexؤپne; harkojؤپ; sarؤپsar<br><br>
all overseeing	jamian<br><br>
all right	xeyl-i xub<br><br>
all round	dowrtؤپdowr<br><br>
all sizes	harandؤپze<br><br>
all that	barؤپyand<br><br>
all three	harse<br><br>
all together	dastejam'i; majmuan<br><br>
all works of a poet	kolliyؤپt<br><br>
all-around	kؤپmelan; sartؤپsari<br><br>
all-over	tamؤپmإ،ode<br><br>
all-round	kؤپmelan; sartؤپsari<br><br>
Allah	Allؤپh<br><br>
allay	ؤپrؤپm kardan<br><br>
allegation	bahؤپne; eddeؤپ; ezhؤپr; moddai; ta'yid<br><br>
allege	eqؤپmeâ€Œ kardan<br><br>
alleged	banؤپ be gofte-ye baâ€™z-i; be qowl-e maâ€™ruf; entesؤپbi; ettehؤپm<br><br>
allegedly	ة،ofte<br><br>
allegiance	bey'at; sarsepordeة،i; tؤپbeiyat; vafؤپdؤپri<br><br>
allegiant	hampeymؤپn<br><br>
allegorical	kenؤپyei; majؤپzi; tamsili<br><br>
allegory	tamsil<br><br>
allegro	neإ،ؤپtangiz; neإ،ؤپtanة،iz<br><br>
allergenicity	hassؤپsiyatzؤپyi<br><br>
allergens	ؤپlerإ¾izؤپ; hassؤپsiyatzؤپ<br><br>
allergic	ؤپlerإ¾ik; hassؤپs; hassؤپsiyati<br><br>
allergies	ؤپlerإ¾i<br><br>
allergy	ؤپlerإ¾i; hassؤپsiyat<br><br>
alleviate	kam kardan<br><br>
alleviation	taskin; taxfif<br><br>
alley	kuce; kuy; paskuce<br><br>
alliance	e'telؤپf; ettehؤپd; vaslat<br><br>
allied	mottafeq; mottahed<br><br>
allies	mottafeqin<br><br>
alligator	nahanة،; temsؤپh<br><br>
allocate	extesؤپs dؤپdan; taxsis dؤپdan<br><br>
allocation	extesؤپs<br><br>
allomorph	vؤپjة،une<br><br>
allot	taxsis dؤپdan<br><br>
allotment	jire; sahm; sahm (sahؤپm)<br><br>
allow	ؤپzؤپd gozؤپإ،tan (gozؤپr); ejؤپze dؤپdan; ejؤپze dؤپdan (deh); jؤپyez dؤپnestan; pasandidan; paziroftan; ravؤپ dؤپnestan; roxsat dؤپdan; tarxis kardan; tasvib kardan<br><br>
allowable	mojؤپz; yؤپyez<br><br>
allowance	fowqolؤپde dؤپdan; madad-e maؤپإ،; mostamerri; xarji<br><br>
allowed	mojؤپz<br><br>
alloy	ؤپludegi<br><br>
alloys	ؤپlyiؤپإ¾<br><br>
allude	eإ،ؤپre kardan; ezhؤپr kardan; marbut budan<br><br>
allure	tatmiâ€™ kardan<br><br>
allusion	eإ،ؤپre; kenؤپye<br><br>
alluvial	rosubi<br><br>
alluvion	tahneإ،ini<br><br>
ally	hampeymؤپni; mottafeq; mottahed kardan<br><br>
almanac	majmue; sؤپlnؤپme<br><br>
almighty God	Xodؤپ<br><br>
almond	bؤپdؤپm<br><br>
almonds	bؤپdؤپm<br><br>
almost	dar hodud-e; kamؤپbiإ،; nazdik be; nazdik bud; qarib; taqriban<br><br>
alms	sadaqe; xeyrؤپt<br><br>
almshouse	gedؤپxؤپne<br><br>
aloft	bؤپlؤپ<br><br>
aloha!	salؤپm<br><br>
alone	bikas; tanhؤپ; yektؤپ; yektane<br><br>
along	dar emtedؤپd-e; emtedؤپd; hamrؤپh; piإ،<br><br>
alongside	dar kenؤپr-e<br><br>
aloof	dur; kenؤپregir<br><br>
aloofness	sardi<br><br>
aloud	boland<br><br>
alphabet	alefbؤپ<br><br>
alphabet letters	horuf-e alefbؤپ<br><br>
alphabetic	alefbؤپyi<br><br>
alphabetical	alefbؤپyi<br><br>
alpinist	kuhnavard<br><br>
already	az qabl; piإ،azin; qablan; qablؤپn; tؤپ hؤپlؤپ; tؤپbehؤپl<br><br>
already today	hamin emruz<br><br>
alright	besyؤپr xub<br><br>
also	afzun bar in; bealؤپve; gozaإ،te az in; hamcenin; hamconin; hamintowr; niz<br><br>
altar	mehrؤپb; mehrؤپb-e kelisؤپ; qorbؤپngؤپh<br><br>
alter	avaz kardan; degargun kardan; degargun إ،odan; eslؤپh kardan; taqyir dؤپdan; taqyir yؤپftan<br><br>
alter ego	xod; yؤپr<br><br>
alterant	tabdili<br><br>
alteration	degarguni; deة،arة،uni; tabdil; taqyir<br><br>
altercate	sarokalleâ€Œ zadan; setize kardan<br><br>
altercation	bahs; mojؤپdele<br><br>
alternate	motenؤپveb; yekdarmiyؤپn<br><br>
alternation	nowbat; tanؤپvob<br><br>
alternative	badil; cؤپre; jؤپygozin; motenؤپveb; qeyremarsum; إ،aqq; yؤپyة،ozin<br><br>
although	agarce; aة،arce; bؤپ ؤپn ke; bؤپ in ke; bؤپ vojud-e in ke; bؤپ vojud-i ke; bؤپؤپnke; bؤپinke; garce; harcand<br><br>
altitude	bolandؤپ; bolandi; ertefؤپ'; farؤپz<br><br>
altmasamyz	eltemؤپsؤپmiz<br><br>
altmasknndh	eltemؤپskonande<br><br>
altogether	darmajmu'; hamegi; hameة،i; ruyehamrafte; yeksare<br><br>
altruism	baإ،ardusti; now'dusti<br><br>
altruist	now'dust<br><br>
altruistic	now'dustؤپne<br><br>
alum	zؤپq<br><br>
aluminium	ؤپlominiyom<br><br>
aluminum	ؤپlominiyom; ؤپlominiyomi<br><br>
alumnus	fؤپreqottahsil<br><br>
always	hamiإ،e; hamvؤپre<br><br>
alzheimer's	ؤپlzؤپymer<br><br>
am	am<br><br>
amain	bؤپajalle; إ،adidan<br><br>
amalgamate	ؤپmixtan; towam kardan; yeki kardan<br><br>
amalgamation	ؤپmixtegi; ؤپmizeإ،<br><br>
amanuensis	moharrer<br><br>
amaranth	jؤپvid<br><br>
amass	gerd ؤپvardan; ة،erdؤپvardan; moterؤپkem kardan; tudeâ€Œ kardan<br><br>
amassment	gerdؤپvari; ة،erdؤپvari<br><br>
amateur	ؤپmؤپtor; nؤپإ،i<br><br>
amateurish	nؤپإ،iyؤپne<br><br>
amaze	taajjob<br><br>
amazed	heyratzade; mabhut; mؤپt; moteajjeb<br><br>
amazement	heyrat; إ،eة،eft; إ،eة،efti; taajjob; xireة،i<br><br>
amazing	e'jؤپbanة،iz; heyratangiz; heyratanة،iz; heyratؤپvar; إ،egeftangiz; إ،eة،eftanة،iz; إ،eة،eftؤپvar<br><br>
ambassador	safir; safir (sofarؤپ); safirekabir<br><br>
ambassadors	sofarؤپ<br><br>
amber	kahrobؤپ<br><br>
ambience	mohit<br><br>
ambiguity	ebhؤپm; ebhؤپm (ebhؤپmؤپt); nؤپmaâ€™lumi<br><br>
ambiguous	dopahlu; mobham<br><br>
ambit	hodud; mohavvate<br><br>
ambition	ؤپrezu; bolandhemmati; jؤپhtalab budan; jؤپhtalabi<br><br>
ambitious	ؤپrezumand; bolandhemmat; jؤپhtalab; jؤپhtalabؤپne; nؤپmju<br><br>
ambitiously	bolandparvؤپzؤپne<br><br>
ambivalent	damdami<br><br>
ambrosia	إ،ahd<br><br>
ambulance	ؤپmbolؤپns; ؤپmbulؤپns<br><br>
ambulances	ؤپmbolؤپns<br><br>
ambulant	moteharrek; sarpؤپyi<br><br>
ambulate	harekat kardan; rؤپh raftan<br><br>
ambulatory	ة،ardeإ،i; moteharrek<br><br>
ambuscade	kamin; kaminة،ؤپh<br><br>
ambush	kamin<br><br>
ameliorate	behbudi yؤپftan; behtar kardan<br><br>
amelioration	behbudi<br><br>
ameliorative	behbuddehande<br><br>
amen	ؤپmin<br><br>
amen!	amin<br><br>
amenability	yavؤپbة،uyi<br><br>
amenable	motemؤپyel<br><br>
amend	behbudi yؤپftan; behtar kardan; tarmim kardan<br><br>
amendable	eslؤپhpazir; pazirؤپ<br><br>
amendment	eslؤپh; tarmim; tashih<br><br>
amerce	tanbih kardan<br><br>
America	ؤپmrikؤپ<br><br>
American	ؤپmer; ؤپmrikؤپyi<br><br>
amethystine	yؤپquti<br><br>
amiability	mehrbؤپni; xoإ،ruyi<br><br>
amicability	mahbubiyat<br><br>
amicable	dustؤپne<br><br>
amid	dar miyؤپn-e; vasat<br><br>
amidst	dar miyؤپn-e; vasat<br><br>
amir	amir<br><br>
amiss	bimored; kasif; nؤپdorost<br><br>
ammeter	ؤپmpermetr; ؤپmpersanj<br><br>
ammo	mohemmؤپt<br><br>
ammonia	ؤپmuniyؤپk<br><br>
ammonium	ؤپmuniyؤپk<br><br>
ammunition	mohemmؤپt<br><br>
amnesia	farؤپmuإ،i<br><br>
amnesty	afv; afv kardan; afv-e omumi; gozaإ،t; ة،ozaإ،t<br><br>
among	az jomle; azjomle; beyn; beyn(-e); dar beyn-e; dar miyؤپn-e; jozv; lؤپ(-ye); lؤپbelؤپ; miyؤپn; miyؤپn(-e); miyؤپn-e<br><br>
amongst	dar miyؤپn-e; miyؤپn<br><br>
amorist	zanbؤپz<br><br>
amorous	إ،ifte<br><br>
amorous play	eإ،qbؤپzi<br><br>
amorously	ؤپإ،eqؤپne<br><br>
amortise	bihess kardan; vaqf kardan<br><br>
amortization	estehlؤپk<br><br>
amortize	bihess kardan; vaqf kardan<br><br>
amount	edde; mablaq; meqdؤپr; mizؤپn; vajh<br><br>
amount due	deyn<br><br>
amounts	maqؤپdir<br><br>
amour	eإ،q<br><br>
amp	ؤپmper<br><br>
ampere	ؤپmper<br><br>
amphibole	dopahlu<br><br>
amphitheater	sؤپlon<br><br>
